exploration_fraction_requested,exploration_fraction_actual,seed,n_flow,n_explore,best_validation_epoch,best_validation_mean,test_mean_length,test_best_length,best_length_ever,best_flow_length_ever,best_explore_length_ever,final_mean_length,final_flow_mean_length,final_explore_mean_length,final_unique_all,final_unique_flow,final_unique_explore,final_rho_explore,final_grad_norm,target_hit,best_source,runtime_seconds
0.1,0.099609375,48,922,102,2000,3.6016345024108887,3.600877046585083,3.5833146572113037,3.522437334060669,3.522437334060669,6.470734596252441,4.274362087249756,3.6020004749298096,10.351984977722168,0.111328125,0.013015184381778741,1.0,0.0,41.54278564453125,False,flow,106.28267158899689
0.1,0.099609375,49,922,102,1800,3.5261569023132324,3.5258240699768066,3.5136685371398926,3.5136685371398926,3.5136685371398926,6.22574520111084,4.263625144958496,3.5584983825683594,10.637419700622559,0.111328125,0.013015184381778741,1.0,0.0,41.848350524902344,True,flow,102.69838876100403
0.1,0.099609375,50,922,102,2000,3.596536159515381,3.596022844314575,3.513669013977051,3.513669013977051,3.513669013977051,6.249563694000244,4.278911113739014,3.5983071327209473,10.431036949157715,0.1357421875,0.04013015184381779,1.0,0.0,27.379724502563477,True,flow,99.5895814290052
0.1,0.099609375,51,922,102,2000,3.907048225402832,3.9081039428710938,3.87992262840271,3.6130993366241455,3.6130993366241455,6.139517784118652,4.575616836547852,3.909085988998413,10.600531578063965,0.1142578125,0.016268980477223426,1.0,0.0,65.79341125488281,False,flow,99.91072050799994
0.25,0.25,42,768,256,1950,4.203108787536621,4.20072078704834,3.5136685371398926,3.5136685371398926,3.5136685371398926,6.051242828369141,5.845815658569336,4.233872890472412,10.681644439697266,0.34765625,0.13020833333333334,1.0,7.605813495917428e-35,72.77171325683594,True,flow,92.12609229199734
0.25,0.25,43,768,256,2000,4.327776908874512,4.324773788452148,4.0324931144714355,4.0324931144714355,4.0324931144714355,6.323237895965576,5.913967132568359,4.326632499694824,10.675971984863281,0.3408203125,0.12109375,1.0,5.455024287024789e-30,64.39567565917969,False,flow,88.62290593899525
0.25,0.25,44,768,256,1950,3.646620035171509,3.6481428146362305,3.5136687755584717,3.5136687755584717,3.5136687755584717,5.9474196434021,5.375903129577637,3.643648862838745,10.57266616821289,0.296875,0.0625,1.0,1.5576584298308017e-38,84.82343292236328,True,flow,88.62354118999792
0.25,0.25,45,768,256,2000,4.140336990356445,4.144121170043945,3.796496868133545,3.5695295333862305,3.5695295333862305,5.997207164764404,5.737126350402832,4.1164445877075195,10.599170684814453,0.33984375,0.11979166666666667,1.0,3.3474557548515436e-26,26.50924301147461,False,flow,84.59382172700134
0.25,0.25,46,768,256,2000,3.7643141746520996,3.7604663372039795,3.5833146572113037,3.522437334060669,3.522437334060669,6.201546669006348,5.4978928565979,3.762538433074951,10.703958511352539,0.3037109375,0.07161458333333333,1.0,1.4502652136544292e-37,52.5154914855957,False,flow,81.71527988999878
0.25,0.25,47,768,256,2000,4.06568717956543,4.070562839508057,3.513669013977051,3.5136685371398926,3.5136685371398926,6.083039283752441,5.70029878616333,4.035191535949707,10.695621490478516,0.4765625,0.3020833333333333,1.0,1.5518863195244393e-32,25.727937698364258,True,flow,79.69465732999379
0.25,0.25,48,768,256,2000,5.42617654800415,5.416685104370117,3.6178581714630127,3.5695295333862305,3.5695295333862305,6.245478630065918,6.708547592163086,5.420902252197266,10.571481704711914,0.931640625,0.9088541666666666,1.0,1.5140445592132928e-13,35.067604064941406,False,flow,78.38980026399804
0.25,0.25,49,768,256,1800,3.588656425476074,3.593003273010254,3.5136685371398926,3.5136685371398926,3.5136685371398926,6.205113410949707,5.381673812866211,3.6381804943084717,10.612154006958008,0.287109375,0.049479166666666664,1.0,0.0,88.4706039428711,True,flow,91.71736772700388
0.25,0.25,50,768,256,2000,4.072208404541016,4.068894386291504,3.513669013977051,3.513669013977051,3.513669013977051,6.249563694000244,5.700166702270508,4.071252822875977,10.586909294128418,0.5,0.3333333333333333,1.0,8.347363178709625e-33,43.27247619628906,True,flow,105.9817191070033
0.25,0.25,51,768,256,2000,4.064664363861084,4.071122646331787,3.8308053016662598,3.660191535949707,3.660191535949707,5.855069637298584,5.695356369018555,4.062142372131348,10.59499740600586,0.3662109375,0.15494791666666666,1.0,1.401298464324817e-45,108.8663558959961,False,flow,103.550187396002
